route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
66-203,Weekend-1,1275-06601-35100-2-a343909e,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
298-221,Weekday-4,1261-29802-76800-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-76800-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
298-221,Weekend-2,1261-29802-78600-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekend-3,1261-29802-78600-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
66-203,Weekday-1,1275-06601-36000-2-753eacfc,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-36000-2-a343909e,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekday-1,1275-06601-36900-2-753eacfc,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-36900-2-a343909e,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
66-203,Weekend-1,1275-06601-37800-2-22370308,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
298-221,Weekday-4,1261-29802-80400-2-6ba404aa,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-6d610fd6,0,0
298-221,Weekday-3,1261-29802-80400-2-e9a0a5b5,Sylvia Park To Onehunga Via Ellerslie,,1,,1261-29802-0d59e672,0,0
74-221,Weekday-1,1265-07401-19800-2-0b2ba009,Onehunga To Glen Innes Via Panmure,,0,,1265-07401-ca563ff6,0,0
66-203,Weekday-1,1275-06601-37800-2-753eacfc,Pt Chevalier Beach To Sylvia Park Via Mt Albert Rd,,0,,1275-06601-5cbf479e,0,0
